,Année,RNE,Nom établissement,Localité,Département,Label,Position
915,2020,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,3,"44.1664542311, 3.84200964175"
294,2020,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
301,2020,0300031W,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318"
302,2020,0300037C,Collège Jean Vilar,Saint-Gilles,30,3,"43.6857190477, 4.43333951677"
304,2020,0301014P,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994"
306,2020,0301209B,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935"
503,2020,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
103,2020,0340056B,Collège UPP Saint Pons de Thomières,Olargues,34,1,"43.5562032972, 2.91673961042"
898,2020,0301721H,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441"
896,2020,0301213F,Collège Paul Valéry,Roquemaure,30,3,"44.0480398242, 4.78033053981"
479,2020,0110672W,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458"
505,2020,0660030Z,Collège Pierre Moréto,Thuir,66,2,"42.6336129412, 2.7594402717"
507,2020,0660864F,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042"
913,2020,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
914,2020,0480006W,Collège Sport Nature,La Canourgue,48,3,"44.4304664308, 3.21929027799"
498,2020,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,1,"43.6339667949, 3.90880976798"
118,2020,0660019M,Collège Saint Exupéry,Perpignan,66,2,"42.6809404657, 2.90278705816"
908,2020,0341367B,Collège Paul Bert,Capestang,34,2,"43.329458695, 3.04042023675"
120,2020,0660051X,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574"
681,2020,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
