uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0301584J;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE EDOUARD VAILLANT;22.0;43.820682089693896;4.334749821693601;elementaire;edouard vaillant;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE EDOUARD VAILLANT;30189;NIMES;public;65.5
0660259Y;1;THEZA;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;6.0;42.63661162114728;2.950880118148673;elementaire;marcel pagnol;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE MARCEL PAGNOL;66208;THEZA;public;98.6
0342029W;1;LUNEL;ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL;6.0;43.68853603475545;4.138059807720123;elementaire;louise michel;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE LOUISE MICHEL;34145;LUNEL;public;110.2
0660554U;1;SAINT-CYPRIEN;ECOLE ELEMENTAIRE PUBLIQUE ALAIN;7.0;42.6249662306995;3.026529664067911;elementaire;alain;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE ALAIN;66171;SAINT CYPRIEN;public;87.3
0480580V;1;LE MALZIEU-VILLE;ECOLE PRIMAIRE PUBLIQUE;4.0;44.85512605524427;3.329670082702705;primaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE;48090;LE MALZIEU VILLE;public;106.5
0110166W;2;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE MARCELLIN BERTHELOT;5.0;43.22173906744284;2.349729934226498;elementaire;marcellin berthelot;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE MARCELIN BERTHELOT;11069;CARCASSONNE;public;87.1
0660203M;1;VERNET-LES-BAINS;ECOLE PRIMAIRE PUBLIQUE LUDOVIC MASSE;4.0;42.54701435258209;2.390319931367089;primaire;ludovic masse;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE PRIMAIRE LUDOVIC MASSE;66222;VERNET LES BAINS;public;103.1
0110204M;2;CASTELNAUDARY;ECOLE ELEMENTAIRE PUBLIQUE DE L EST;5.0;43.31601267368825;1.9586606086592988;elementaire;de l est;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE DE L EST;11076;CASTELNAUDARY;public;84.8
0110301T;2;FONTIES-D'AUDE;ECOLE PRIMAIRE PUBLIQUE;2.0;43.18908144389607;2.4506799082435613;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11151;FONTIES D AUDE;public;84.9
0110589F;2;VILLEGAILHENC;ECOLE ELEMENTAIRE PUBLIQUE;5.0;43.26774002947744;2.3568400821669924;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11425;VILLEGAILHENC;public;99.2
